Job_ID,Operation:First,Operation:Middle,Operation:Later,Operation:Last,ProcessTime:Short,ProcessTime:Middle,ProcessTime:Long,RemainingTime:Short,RemainingTime:Middle,RemainingTime:Long,MachineLoadlight,MachineLoadHeavy,Priority,Operation,ProcessTime,ReaminingTime,MachineLoadLight,MachineLoadHeavy
2,0,0,0,1,1,0,0,1,0,0,2,1,1,5,1,0,2,1
3,0,0,0,1,1,0,0,1,0,0,1,1,5,5,1,0,1,1
7,0,0,0,1,0,1,0,1,0,0,1,0,6,5,1,0,1,0
4,0,0,0,1,0,1,0,1,0,0,1,1,4,5,2,0,1,1
6,0,0,0,1,0,1,0,1,0,0,1,1,6,6,3,0,1,1
10,0,0,0,1,0,0,1,1,0,0,1,1,5,6,3,0,1,1
1,0,0,0,1,0,0,1,1,0,0,1,2,3,6,6,0,1,2
5,0,0,0,1,0,0,1,1,0,0,2,1,4,6,6,0,2,1
8,0,0,0,1,0,0,1,1,0,0,1,1,5,5,6,0,1,1
9,0,0,0,1,0,0,1,1,0,0,1,1,2,6,6,0,1,1
7,0,0,1,0,0,1,0,1,0,0,2,1,6,4,1,1,2,1
3,0,0,1,0,0,0,1,1,0,0,2,1,5,4,4,1,2,1
2,0,0,1,0,0,0,1,1,0,0,1,1,1,4,6,1,1,1
4,0,0,1,0,0,1,0,1,0,0,2,1,4,4,3,2,2,1
7,0,1,0,0,0,0,1,1,0,0,2,1,6,3,4,2,2,1
6,0,0,1,0,0,1,0,1,0,0,2,1,6,5,1,3,2,1
10,0,0,1,0,0,0,1,1,0,0,1,1,2,5,6,3,1,1
6,0,0,1,0,0,0,1,1,0,0,1,0,6,4,6,4,1,0
3,0,1,0,0,1,0,0,1,0,0,2,1,4,3,1,5,2,1
4,0,1,0,0,1,0,0,1,0,0,1,0,4,3,1,5,1,0
1,0,0,1,0,1,0,0,1,0,0,1,0,3,5,1,6,1,0
3,0,1,0,0,0,1,0,0,1,0,1,1,4,2,2,6,1,1
7,0,1,0,0,0,1,0,0,1,0,1,1,6,2,3,6,1,1
9,0,0,1,0,0,0,1,0,1,0,2,1,2,5,4,6,2,1
4,0,1,0,0,0,0,1,0,1,0,1,0,4,2,6,6,1,0
5,0,0,1,0,0,0,1,0,1,0,1,1,3,5,6,6,1,1
8,0,0,1,0,0,0,1,0,1,0,1,0,5,4,6,6,1,0
1,0,0,1,0,1,0,0,0,1,0,2,1,3,4,1,7,2,1
2,0,1,0,0,0,1,0,0,1,0,1,0,1,3,2,7,1,0
1,0,1,0,0,0,1,0,0,1,0,1,1,3,3,2,8,1,1
3,1,0,0,0,0,0,1,0,1,0,1,0,4,1,6,8,1,0
2,0,1,0,0,1,0,0,0,1,0,1,0,1,2,1,9,1,0
7,1,0,0,0,0,1,0,0,1,0,0,1,6,1,1,9,0,1
10,0,0,1,0,0,1,0,0,1,0,0,1,2,4,1,9,0,1
9,0,0,1,0,0,1,0,0,1,0,1,0,1,4,2,10,1,0
1,0,1,0,0,0,1,0,0,1,0,2,1,3,2,3,10,2,1
10,0,1,0,0,0,0,1,0,1,0,2,1,2,3,3,10,2,1
6,0,1,0,0,0,0,1,0,1,0,2,1,6,3,4,10,2,1
2,1,0,0,0,0,0,1,0,1,0,1,0,1,1,6,10,1,0
4,1,0,0,0,1,0,0,0,1,0,2,1,4,1,1,12,2,1
8,0,1,0,0,0,1,0,0,1,0,2,1,5,3,1,12,2,1
9,0,1,0,0,0,1,0,0,0,1,1,2,1,3,3,12,1,2
5,0,0,1,0,0,0,1,0,0,1,2,0,3,4,5,12,2,0
1,1,0,0,0,0,0,1,0,0,1,2,0,2,1,4,13,2,0
8,0,1,0,0,0,0,1,0,0,1,2,1,5,2,4,13,2,1
10,0,1,0,0,0,0,1,0,0,1,2,1,2,2,4,13,2,1
6,0,1,0,0,0,1,0,0,0,1,1,0,6,2,2,14,1,0
9,0,1,0,0,0,1,0,0,0,1,1,1,1,2,1,15,1,1
9,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,16,0,1
6,1,0,0,0,0,1,0,0,0,1,1,1,5,1,2,16,1,1
8,1,0,0,0,0,1,0,0,0,1,1,1,5,1,2,17,1,1
10,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,17,1,1
5,0,1,0,0,0,0,1,0,0,1,1,0,3,3,6,17,1,0
5,0,1,0,0,0,1,0,0,0,1,2,1,3,2,1,23,2,1
5,1,0,0,0,0,1,0,0,0,1,2,1,2,1,3,24,2,1
