Job_ID,Operation:First,Operation:Middle,Operation:Later,Operation:Last,ProcessTime:Short,ProcessTime:Middle,ProcessTime:Long,RemainingTime:Short,RemainingTime:Middle,RemainingTime:Long,MachineLoadlight,MachineLoadHeavy,Priority,Operation,ProcessTime,ReaminingTime,MachineLoadLight,MachineLoadHeavy
3,0,0,0,1,1,0,0,1,0,0,2,0,3,10,1,0,2,0
12,0,0,0,1,1,0,0,1,0,0,2,0,2,10,1,0,2,0
15,0,0,0,1,1,0,0,1,0,0,2,2,3,10,1,0,2,2
1,0,0,0,1,1,0,0,1,0,0,0,3,1,10,2,0,0,3
2,0,0,0,1,1,0,0,1,0,0,0,3,4,10,2,0,0,3
7,0,0,0,1,1,0,0,1,0,0,0,3,2,10,2,0,0,3
13,0,0,0,1,0,1,0,1,0,0,2,2,4,10,3,0,2,2
5,0,0,0,1,0,1,0,1,0,0,3,2,1,10,5,0,3,2
6,0,0,0,1,0,1,0,1,0,0,1,1,5,10,5,0,1,1
8,0,0,0,1,0,1,0,1,0,0,1,1,4,10,5,0,1,1
9,0,0,0,1,0,1,0,1,0,0,1,3,2,10,5,0,1,3
10,0,0,0,1,0,1,0,1,0,0,3,2,5,10,5,0,3,2
4,0,0,0,1,0,1,0,1,0,0,0,2,6,10,6,0,0,2
11,0,0,0,1,0,0,1,1,0,0,4,1,6,10,11,0,4,1
14,0,0,0,1,0,0,1,1,0,0,1,0,6,10,17,0,1,0
12,0,0,1,0,0,1,0,1,0,0,1,3,2,9,5,1,1,3
15,0,0,1,0,0,1,0,1,0,0,2,0,3,9,5,1,2,0
3,0,0,1,0,0,0,1,1,0,0,1,0,3,9,17,1,1,0
1,0,0,1,0,0,1,0,1,0,0,3,2,1,9,5,2,3,2
7,0,0,1,0,0,1,0,1,0,0,2,0,2,9,5,2,2,0
2,0,0,1,0,0,0,1,1,0,0,2,2,4,9,13,2,2,2
13,0,0,1,0,0,0,1,1,0,0,0,2,4,9,6,3,0,2
5,0,0,1,0,0,1,0,1,0,0,1,1,1,9,3,5,1,1
10,0,0,1,0,0,1,0,1,0,0,1,3,5,9,3,5,1,3
8,0,0,1,0,0,1,0,1,0,0,2,0,4,9,5,5,2,0
6,0,0,1,0,0,1,0,1,0,0,0,2,5,9,6,5,0,2
9,0,0,1,0,0,0,1,1,0,0,4,1,2,9,18,5,4,1
15,0,0,1,0,0,1,0,1,0,0,1,2,3,8,2,6,1,2
12,0,0,1,0,0,1,0,1,0,0,1,1,2,8,5,6,1,1
4,0,0,1,0,0,0,1,1,0,0,1,0,6,9,17,6,1,0
7,0,0,1,0,0,0,1,1,0,0,4,1,2,8,13,7,4,1
1,0,0,1,0,0,0,1,1,0,0,1,0,1,8,17,7,1,0
10,0,0,1,0,1,0,0,1,0,0,0,3,5,8,2,8,0,3
5,0,0,1,0,0,1,0,1,0,0,0,2,1,8,3,8,0,2
15,0,0,1,0,0,0,1,1,0,0,4,1,3,7,11,8,4,1
13,0,0,1,0,0,0,1,1,0,0,4,1,4,8,11,9,4,1
8,0,0,1,0,1,0,0,1,0,0,2,0,4,8,1,10,2,0
10,0,0,1,0,0,1,0,1,0,0,0,2,5,7,6,10,0,2
5,0,0,1,0,1,0,0,1,0,0,1,2,1,7,2,11,1,2
12,0,0,1,0,0,1,0,1,0,0,0,1,2,7,2,11,0,1
6,0,0,1,0,0,1,0,1,0,0,1,3,5,8,5,11,1,3
11,0,0,1,0,0,0,1,1,0,0,3,2,6,9,10,11,3,2
