Job_ID,Operation:First,Operation:Middle,Operation:Later,Operation:Last,ProcessTime:Short,ProcessTime:Middle,ProcessTime:Long,RemainingTime:Short,RemainingTime:Middle,RemainingTime:Long,MachineLoadlight,MachineLoadHeavy,Priority,Operation,ProcessTime,ReaminingTime,MachineLoadLight,MachineLoadHeavy
1,0,0,0,1,1,0,0,1,0,0,1,1,1,8,1,0,1,1
3,0,0,0,1,1,0,0,1,0,0,2,0,2,6,1,0,2,0
7,0,0,0,1,1,0,0,1,0,0,1,1,1,5,1,0,1,1
2,0,0,0,1,0,1,0,1,0,0,0,1,4,7,2,0,0,1
12,0,0,0,1,0,1,0,1,0,0,0,1,6,6,2,0,0,1
14,0,0,0,1,0,1,0,1,0,0,1,1,4,3,2,0,1,1
9,0,0,0,1,0,1,0,1,0,0,3,0,6,9,3,0,3,0
4,0,0,0,1,0,1,0,1,0,0,1,1,5,5,5,0,1,1
11,0,0,0,1,0,1,0,1,0,0,1,1,3,4,5,0,1,1
13,0,0,0,1,0,0,1,1,0,0,0,2,2,4,5,0,0,2
6,0,0,0,1,0,0,1,1,0,0,1,1,4,9,6,0,1,1
8,0,0,0,1,0,0,1,1,0,0,1,1,5,6,6,0,1,1
15,0,0,0,1,0,0,1,1,0,0,1,0,2,6,6,0,1,0
5,0,0,0,1,0,0,1,1,0,0,1,1,5,7,7,0,1,1
10,0,0,0,1,0,0,1,1,0,0,1,1,3,5,9,0,1,1
7,0,0,1,0,0,1,0,1,0,0,0,1,1,4,2,1,0,1
1,0,0,1,0,0,1,0,1,0,0,0,2,1,7,5,1,0,2
3,0,0,1,0,0,0,1,1,0,0,2,0,2,5,7,1,2,0
14,0,1,0,0,0,1,0,1,0,0,0,1,4,2,1,2,0,1
2,0,0,1,0,0,1,0,1,0,0,0,1,4,6,2,2,0,1
12,0,0,1,0,0,0,1,1,0,0,2,1,6,5,9,2,2,1
7,0,1,0,0,1,0,0,1,0,0,1,1,1,3,1,3,1,1
9,0,0,1,0,0,0,1,1,0,0,2,0,6,8,7,3,2,0
14,1,0,0,0,0,0,1,1,0,0,0,2,4,1,7,3,0,2
2,0,0,1,0,0,1,0,1,0,0,3,0,4,5,3,4,3,0
7,0,1,0,0,0,0,1,1,0,0,2,0,1,2,7,4,2,0
11,0,0,1,0,0,1,0,1,0,0,3,0,3,3,3,5,3,0
4,0,0,1,0,0,0,1,1,0,0,1,1,5,4,7,5,1,1
13,0,0,1,0,0,0,1,1,0,0,1,1,2,3,7,5,1,1
6,0,0,1,0,1,0,0,1,0,0,0,1,4,8,1,6,0,1
8,0,0,1,0,1,0,0,1,0,0,0,1,5,5,1,6,0,1
15,0,0,1,0,0,1,0,1,0,0,2,1,2,5,2,6,2,1
1,0,0,1,0,0,1,0,1,0,0,3,0,1,6,3,6,3,0
2,0,1,0,0,1,0,0,1,0,0,1,1,4,4,1,7,1,1
8,0,0,1,0,0,1,0,0,1,0,0,1,5,4,2,7,0,1
5,0,0,1,0,0,1,0,0,1,0,3,0,5,6,3,7,3,0
6,0,0,1,0,0,0,1,0,1,0,2,0,3,7,7,7,2,0
3,0,0,1,0,0,1,0,0,1,0,1,1,2,4,2,8,1,1
15,0,0,1,0,0,1,0,0,1,0,3,0,2,4,3,8,3,0
2,0,1,0,0,0,0,1,0,1,0,1,0,4,3,6,8,1,0
11,0,1,0,0,0,0,1,0,1,0,1,0,3,2,6,8,1,0
8,0,1,0,0,0,1,0,0,1,0,3,0,5,3,3,9,3,0
10,0,0,1,0,0,1,0,0,1,0,1,1,3,4,5,9,1,1
1,0,0,1,0,0,0,1,0,1,0,2,1,1,5,9,9,2,1
3,0,1,0,0,1,0,0,0,1,0,2,1,2,3,1,10,2,1
9,0,0,1,0,0,1,0,0,1,0,0,1,6,7,2,10,0,1
5,0,0,1,0,0,0,1,0,1,0,2,0,5,5,7,10,2,0
3,0,1,0,0,0,1,0,0,1,0,3,0,2,2,3,11,3,0
7,1,0,0,0,0,0,1,0,1,0,0,2,1,1,7,11,0,2
12,0,0,1,0,0,0,1,0,1,0,2,0,6,4,7,11,2,0
15,0,1,0,0,0,0,1,0,1,0,2,1,2,3,9,11,2,1
9,0,0,1,0,0,1,0,0,1,0,1,1,6,6,1,12,1,1
13,0,1,0,0,0,1,0,0,1,0,1,1,1,2,1,12,1,1
8,0,1,0,0,0,1,0,0,1,0,0,2,5,2,5,12,0,2
4,0,1,0,0,0,0,1,0,1,0,1,1,5,3,9,12,1,1
9,0,1,0,0,0,1,0,0,1,0,1,1,6,5,2,13,1,1
13,1,0,0,0,0,1,0,0,1,0,0,1,1,1,2,13,0,1
2,0,1,0,0,1,0,0,0,1,0,1,1,4,2,1,14,1,1
3,1,0,0,0,1,0,0,0,1,0,0,1,2,1,1,14,0,1
10,0,1,0,0,0,1,0,0,1,0,0,1,3,3,2,14,0,1
6,0,0,1,0,0,0,1,0,1,0,2,1,3,6,9,14,2,1
11,1,0,0,0,0,0,1,0,1,0,2,1,2,1,9,14,2,1
2,1,0,0,0,1,0,0,0,1,0,0,1,4,1,1,15,0,1
9,0,1,0,0,0,0,1,0,1,0,2,1,6,4,9,15,2,1
10,0,1,0,0,0,0,1,0,1,0,1,0,3,2,6,16,1,0
8,1,0,0,0,0,1,0,0,0,1,1,1,5,1,5,17,1,1
5,0,1,0,0,0,0,1,0,0,1,2,1,5,4,9,17,2,1
1,0,1,0,0,0,1,0,0,0,1,1,1,1,4,2,18,1,1
